2025-06-18 10:13:00,134 - INFO - Iniciando creación de estándares base - 2025-06-18 10:13:00
2025-06-18 10:13:00,162 - INFO - Procesando 12777 rutas de productos...
2025-06-18 10:13:00,869 - INFO - Creado estándar para producto 10210080401, proceso: 2180, máquina 1112
2025-06-18 10:13:00,872 - INFO - Creado estándar para producto 10210080401, proceso: 2395, máquina 1440
2025-06-18 10:13:00,874 - INFO - Creado estándar para producto 10210080401, proceso: 3020, máquina 1840
2025-06-18 10:13:00,877 - INFO - Creado estándar para producto 10210080401, proceso: 6090, máquina 6010
2025-06-18 10:13:00,879 - INFO - Creado estándar para producto 10210100127, proceso: 2180, máquina 1112
2025-06-18 10:13:00,882 - INFO - Creado estándar para producto 10210100127, proceso: 2395, máquina 1440
2025-06-18 10:13:00,884 - INFO - Creado estándar para producto 10210100127, proceso: 3020, máquina 1840
2025-06-18 10:13:00,885 - INFO - Creado estándar para producto 10210100127, proceso: 6090, máquina 6010
2025-06-18 10:13:00,887 - INFO - Creado estándar para producto 10210100526, proceso: 1020, máquina 1002
2025-06-18 10:13:00,893 - INFO - Creado estándar para producto 10210100526, proceso: 2150, máquina 1207
2025-06-18 10:13:00,895 - INFO - Creado estándar para producto 10210100526, proceso: 2395, máquina 1421
2025-06-18 10:13:00,897 - INFO - Creado estándar para producto 10210100526, proceso: 2320, máquina 1601
2025-06-18 10:13:00,899 - INFO - Creado estándar para producto 10210100526, proceso: 3060, máquina 2002
2025-06-18 10:13:00,902 - INFO - Creado estándar para producto 10210100526, proceso: 6090, máquina 6010
2025-06-18 10:13:00,904 - INFO - Creado estándar para producto 10210100720, proceso: 1020, máquina 1002
2025-06-18 10:13:00,906 - INFO - Creado estándar para producto 10210100720, proceso: 2150, máquina 1207
2025-06-18 10:13:00,910 - INFO - Creado estándar para producto 10210100720, proceso: 2395, máquina 1421
2025-06-18 10:13:00,914 - INFO - Creado estándar para producto 10210100720, proceso: 2320, máquina 1601
2025-06-18 10:13:00,917 - INFO - Creado estándar para producto 10210100720, proceso: 3060, máquina 2002
